File_Name,no_of_images,Base_Call_no,Call_no_letter,Call_no_number,Item_number,Series,Main_Entry,Dates_Covered,Dates_Written,Places,Language,Summary_Notes,Arrangement,Item_dateYear,Filing_year,Month,Day,Item_Title,no_pages,no_pieces,Abstract_Summary_of_item,placeTerm,Additional_Notes,Metadata,Sarah_Proofing_Notes,recpt,fulldate
ksrl_sc_ms23_C.1.1_001.TIF & ksrl_sc_ms23_C.1.1_002.TIF,2,MS23,C,1,1,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,no date,1847,,,Sheet of draft poems,2,1,"Page 1: 3 lines beginning: ""Seemed, but gently whispering:""; 1 line: ""The whole head is sick and the whole heart faint.""; 14 lines beginning: ""Woe for the young [inserted: ""who""] say that life is long""
[Reversed , at foot]: ""These are early poems (say 1847) by Christina G. Rossetti. The handwriting at back is my mother's.""; Page 2: 4 four-line stanzas headed: ""A true Story. (continued)"", beginning: ""In
this great city now the haunt"" and footed: ""(To be
continued)"";",,"Provenance: Purchase: Myers 386:302, 1956 May 18. Rose Morgan fund.",Y,,,1847
ksrl_sc_ms23_C.2.1_001.TIF & ksrl_sc_ms23_C.2.1_002.TIF & ksrl_sc_ms23_C.2.1_003.TIF,3,MS23,C,2,1,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,188-,1884,,,Letter to Mr. Brown [Ford Madox Brown?],3,1,"Friday morning, 30 Torrington Square, W.C.; Begins: ""Lucy kindly writing to help us in a search for seaside lodgings...""",England--London,"Provenance: Purchase: Myers 386:301, 1956 May 18. Rose Morgan fund.",Y,,"Brown, Ford Madox, 1821-1893",1884
ksrl_sc_ms23_C.2.2_001.TIF & ksrl_sc_ms23_C.2.2_002.TIF & ksrl_sc_ms23_C.2.2_003.TIF,3,MS23,C,2,2,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,1884-1894?,1884,,,"Letter to Mr. Gurney [Alfred, 1845-1898?]",3,1,"Friday, 30 Torrington Square, W.C.; Begins: ""It is a pleasure to hear from you again, and to read and to return the agreeable 'Academy' critique.""",England--London,"Provenance: Purchase: Maggs 835:236, 1956 May 15. Rose Morgan fund.",Y,,"Alfred, Gurney",1884
ksrl_sc_ms23_C.2.3_001.TIF & ksrl_sc_ms23_C.2.3_002.TIF & ksrl_sc_ms23_C.2.3_003.TIF & ksrl_sc_ms23_C.2.3_004.TIF,4,MS23,C,2,3,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,1878?,1878,11,15,"Letter to ""Dear Sir"" [editor? of University Magazine]",4,1 + wrapper,"Nov. 15, 30 Torrington Square, W.C.; Begins: ""My brother William Rossetti tells me that you will accept something of mine for your 'University Magazine' ... ""; Sewed into blank sheet marked: 139 Christina Rossetti.",England--London,Provenance: Purchase: Part of a lot of D. G. and C. G. Rossetti letters acquired from Driscoll in 1957 (Paden Reserve) or from other Driscoll offers before 1961.,Y,,,1878-11-15
ksrl_sc_ms23_C.2.4_001.TIF & ksrl_sc_ms23_C.2.4_002.TIF,2,MS23,C,2,4,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,1862 or after,1862,,,Letter to Miss Knox [Isa Craig?],2,1,"Friday evening, 166 Albany St. N.W.; Begins: ""Will you allow me the privilege of introducing to you a lady, Mrs Macquoid?...""",England--London,"Provenance: Purchase: Maggs 835:235, 1956 May 15. Rose Morgan fund.",Y,,"Know, Isa Craig",1862
ksrl_sc_ms23_C.2.5_001.TIF & ksrl_sc_ms23_C.2.5_002.TIF,2,MS23,C,2,5,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,1876-1890?,1880,1,1,Letter to Mr. Scott [William Bell?].,2,1,"New Year's night, 30 Torrington Square, W.C.; Begins: ""I hope I am first to show you a few pleasant words from the Guardian —""",England--London,Provenance: Purchase: Part of a lot of D. G. and C. G. Rossetti letters acquired from Driscoll in 1957 (Paden Reserve) or from other Driscoll offers before 1961.,Y,,"Scott, William Bell, 1811-1890",1880-01-01
ksrl_sc_ms23_C.2.6_001.TIF & ksrl_sc_ms23_C.2.6_002.TIF & ksrl_sc_ms23_C.2.6_003.TIF,3,MS23,C,2,6,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,1882?,1882,11,13,"Letter to ""Madam""",4,1,"13 Nov (Thursday), 45 Upper Albany St. N.W.; Begins: ""Mme Bodichon, asking me to contribute a little piece to the volume to be sold at the Lancashire Distress Exhibition...""",England--London,Provenance: Purchase: Part of a lot of D. G. and C. G. Rossetti letters acquired from Driscoll in 1957 (Paden Reserve) or from other Driscoll offers before 1961.,Y,,,1882-11-13
ksrl_sc_ms23_C.2.7_001.TIF & ksrl_sc_ms23_C.2.7_002.TIF,2,MS23,C,2,7,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,1885,1885,8,5,"Letter to ""Dear Sir""",1,1,"1885 Aug 5, 30 Torrington Square, W.C.; Text: ""Allow me to thank you for the pleasure you have given me by sending me a review I had neither seen nor heard of.""",England--London,"Provenance: Purchase: Carnegie 279:468, 1964 Nov 20.",C,,,1885-08-05
ksrl_sc_ms23_C.2.8_001.TIF & ksrl_sc_ms23_C.2.8_002.TIF,2,MS23,C,2,8,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,1889,1889,3,13,Letter to William Michael Rossetti,1,1,"1889 Mar 13 , 30 Torrington Square, W.C.; Receipt for the quarter's rent for 5 Endsleigh Gardens.
Signed ""Christina G. Rossetti for Charlotte L. Polidori"". On verso: penciled sums.",England--London,Provenance: Purchase: Driscoll offer 1965 Dec 29. Special Collections Funds,C,,"Rosetti, William Michael, 1829-1919",1889-03-13
ksrl_sc_ms23_C.2.9_001.TIF & ksrl_sc_ms23_C.2.9_002.TIF & ksrl_sc_ms23_C.2.9_003.TIF,3,MS23,C,2,9,"Rossetti, Christina Georgina, 1830-1894","Rossetti, Christina Georgina, 1830-1894",1847; 186?-1894,1847-1894,"England: London, Birchington-on-Sea, Scarborough; Scotland: Ayrshire",English,"Letters primarily by (but also to) Christina Rossetti. Topics covered include literary, social, artistic, family news. Poems drafts.",,1876-1894,1880,,,"Letter to ""Dear Sir""",3,1,"Saturday, 30 Torrington Square, W.C.; Begins: ""Even with your valuable and kind help -- for which I gratefully thank you -- I have been unable to collect sufficient material for a memoir of Mrs Radcliffe..."" [From folder 23D.4, formerly marked 3]",England--London,Provenance: Purchase: Part of a lot of D. G. and C. G. Rossetti letters acquired from Driscoll in 1957 (Paden Reserve) or from other Driscoll offers before 1961.,Y,,,1880
